id	examNumber	questionNumber	category	topic	type	difficulty	question	optionA	optionB	optionC	optionD	optionE	answerIndex	correctAnswer	explanation	source	sourcePhoto	answerPhoto	image	imageAlt	imageCaption
"exam2-076"	"2"	"76"	"Radiation Safety"	"Radiation Safety"	"protocol"	"1"	"In performing a room survey with a G-M counter, the technologist should first:"	"perform a battery check on the counter"	"calibrate the unit"	"measure each area designated on the survey diagram"	"perform a wipe test on each designated area"	"measure the room background"	"0"	"perform a battery check on the counter"	"To ensure that the batteries are functional, a battery check should be performed immediately before taking any measurements with a survey meter."	"Source: Thompson, et al., 1994; p. 32."	"Question photos/Questions/Exam 2/IMG_1137.jpeg"	"Question photos/Answers/Exam 2/IMG_1217.jpeg"	""	""	""
"exam2-077"	"2"	"77"	"Radiation Safety"	"Radiation Safety"	"concept"	"2"	"What is the maximum exposure rate that can be measured with the G-M meter shown here?"	"50,000 mR/hr"	"5,000 mR/hr"	"500 mR/hr"	"50 mR/hr"	"5 mR/hr"	"3"	"50 mR/hr"	"The needle will register 5 for a full-scale deflection on this meter. The maximum scale is 10. The maximum exposure rate that could be measured is the product of the number at full deflection and the maximum scale. Thus, 5 mR/hr x 10 = 50 mR/hr"	"Source: Thompson, et al., 1994; pp. 32-33."	"Question photos/Questions/Exam 2/IMG_1137.jpeg"	"Question photos/Answers/Exam 2/IMG_1217.jpeg"	"assets/question-bank/retake/exam2-077/e2q77.jpg"	"Graphic for Exam 2, Question 77."	""
"exam2-078"	"2"	"78"	"Radiation Safety"	"Radiation Safety"	"protocol"	"3"	"A technologist monitors the empty carton from a shipment of [131I] sodium iodide. The container measures 0.08 mR/hr, and room background measures 0.07 mR/hr. The technologist should next:"	"Notify the RSO."	"Dispose of the container as radioactive waste."	"Wipe test the container for removable contamination."	"Obliterate any radiation symbols and dispose of the container in regular trash."	"Notify the NRC."	"3"	"Obliterate any radiation symbols and dispose of the container in regular trash."	"The exposure rate of the packing material is approximately the same as room background, so the carton may be disposed of in the regular trash after any radiation symbols are removed or obliterated."	"Source: Christian, et al., 2004; p. 196."	"Question photos/Questions/Exam 2/IMG_1137.jpeg"	"Question photos/Answers/Exam 2/IMG_1217.jpeg"	""	""	""
"exam2-079"	"2"	"79"	"Radiation Safety"	"Radiation Safety"	"concept"	"4"	"According to NRC regulations, in what areas can radioxenon be administered?"	"in any room that can be closed off with doors"	"only in rooms that have xenon alarm systems"	"only in imaging rooms that can be negatively pressurized"	"in any room where a G-M detector is available to use"	"only in imaging rooms that can be positively pressurized"	"2"	"only in imaging rooms that can be negatively pressurized"	"U.S. Nuclear Regulatory Commission, 2003 (10 CFR 20.1701). NRC regulations require facilities to use facility design and procedures that will minimize the potential for contamination to the extent practicable. Rooms in which radioxenon is used should be tested to determine the amount of time required for evacuation of gas from the room after cm) to be a gas spill. A negative air pressure exhaust system would be necessary to draw the xenon out of the room without spreading it to adjacent areas. 12.5 87.5"	"Source photo: Answers/Exam 2/IMG_1217.jpeg."	"Question photos/Questions/Exam 2/IMG_1137.jpeg"	"Question photos/Answers/Exam 2/IMG_1217.jpeg"	""	""	""
"exam2-080"	"2"	"80"	"Instrumentation & QC"	"Dose Calibrator QC"	"concept"	"5"	"When can a decay factor be used to calibrate a unit dosage in place of measuring the dosage in a dose calibrator?"	"A dose calibrator must be used to measure every dosage."	"only if the same size and type syringe is used"	"only if a unit dosage was not manipulated after preparation and calibration"	"only if the dosage contains less than 1 mCi activity"	"only if the dosage contains 99mTc"	"2"	"only if a unit dosage was not manipulated after preparation and calibration"	"According to NRC regulations, a unit dosage can be calibrated before administration by direct calibration using a dose calibrator, or by applying a decay factor to the original activity if the dosage has not been manipulated or adjusted after it was originally prepared and calibrated."	"Source: U.S. Nuclear Regulatory Commission, 2003 (10 CFR 35.63), Siegel, 2004; pp. 50-51, and Waterstram-Rich and Gilmore, et al."	"Question photos/Questions/Exam 2/IMG_1137.jpeg"	"Question photos/Answers/Exam 2/IMG_1217.jpeg"	""	""	""
"exam2-081"	"2"	"81"	"Radiation Safety"	"Thyroid Imaging"	"protocol"	"1"	"A patient received 5 mCi of [131I] sodium iodide for treatment of hyperthyroidism. The patient should adhere to all of the following instructions except:"	"Minimize close contact with others."	"Remain at home at least 30 days."	"Use separate personal utensils for first week after therapy."	"Drink plenty of liquids."	"Wash hands after using the toilet."	"1"	"Remain at home at least 30 days."	"Patients should be given instructions to follow for 3-7 days that will minimize spread of contamination and radiation exposure to others."	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 122."	"Question photos/Questions/Exam 2/IMG_1137.jpeg"	"Question photos/Answers/Exam 2/IMG_1217.jpeg"	""	""	""
"exam2-082"	"2"	"82"	"Radiation Safety"	"Radiation Safety"	"protocol"	"2"	"After a 99mTc spill, decontamination procedures have not been able to remove all of the spilled material. If the current exposure rate is 32 mR/hr, how long will it take for the exposure rate to drop to 2 mR/hr?"	"24 hr"	"18 hr"	"12 hr"	"8 hr"	"4 hr"	"0"	"24 hr"	"For each half-life that passes, the activity decreases to half of the previous activity. In this case, four half-lives are required for the activity to drop to the specified level. If each half-life is 6 hr, the total time required is 24 hr."	"Source: U.S. Nuclear Regulatory Commission, 2017; pp. 10-12."	"Question photos/Questions/Exam 2/IMG_1137.jpeg"	"Question photos/Answers/Exam 2/IMG_1217.jpeg"	""	""	""
"exam2-083"	"2"	"83"	"Instrumentation & QC"	"Instrumentation & QC"	"concept"	"3"	"If a patient must be hospitalized in isolation after receiving a high activity of 131I, which of the following signs must be placed on the door of the isolation room?"	"""Authorized Personnel Only"""	"""Caution: Airborne Radioactivity"""	"""Reverse Isolation Procedures Required"""	"Length of time a visitor may stay in the room"	"Sign-in sheet to record name and age of each visitor"	"3"	"Length of time a visitor may stay in the room"	"If a person is hospitalized after administration of a therapeutic dosage of iodine-131, the room signage must indicate the length of time a visitor may stay."	"Source: U.S. Nuclear Regulatory Commission, 2003 (10 CFR 35.315)."	"Question photos/Questions/Exam 2/IMG_1137.jpeg"	"Question photos/Answers/Exam 2/IMG_1217.jpeg"	""	""	""
"exam2-084"	"2"	"84"	"Radiation Safety"	"Radiation Safety"	"concept"	"4"	"How soon after a medical event has occurred must the NRC be notified?"	"written report within 24 hr"	"telephone notification within 72 hr"	"telephone notification no later than the following calendar day"	"written report within 30 calendar days"	"written report within 5 regular work days"	"2"	"telephone notification no later than the following calendar day"	"U.S. Nuclear Regulatory Commission, 2003 (10 CFR 35.3545). NRC regulations state that the NRC Operations Center must be notified of a medical event (error, misadministration) no later than the next calendar day. U.S. Nuclear Regulatory Commission,"	"Source photo: Answers/Exam 2/IMG_1217.jpeg."	"Question photos/Questions/Exam 2/IMG_1137.jpeg"	"Question photos/Answers/Exam 2/IMG_1217.jpeg"	""	""	""
"exam2-085"	"2"	"85"	"Radiation Safety"	"Radiation Safety"	"concept"	"5"	"According to the NRC, written instructions must be provided to a patient who has received radionuclide therapy when:"	"the patient is a female of childbearing age"	"the patient resides with children younger than 18 years of age"	"the patient is under the age of 18 years old"	"every patient must receive instructions, regardless of dosage"	"another individual may receive an exposure greater than 0.1 Rem (1 mSv) from the patient"	"4"	"another individual may receive an exposure greater than 0.1 Rem (1 mSv) from the patient"	"2003 (10 CFR 35.75). NRC regulations state that written instructions for precautions must be provided to the patient or the patient's parent or guardian if any individual is likely to exceed 0.1 Rem (1 mSv) exposure from the therapy patient."	"Source photo: Answers/Exam 2/IMG_1217.jpeg."	"Question photos/Questions/Exam 2/IMG_1137.jpeg"	"Question photos/Answers/Exam 2/IMG_1217.jpeg"	""	""	""
"exam2-086"	"2"	"86"	"Radiation Safety"	"Dose Calibrator QC"	"concept"	"1"	"Which of the following statements about the shielding method of performing a dose calibrator linearity test is true?"	"The linearity check must be done over a 24 hr period."	"Only a few microcuries of radioactivity are needed to perform the test."	"Linearity must be tested more frequently if this method is used."	"A different source activity is required for each shield combination."	"When the shields are first used, the decay method must be used to confirm their accuracy."	"4"	"When the shields are first used, the decay method must be used to confirm their accuracy."	"To ensure that the shields will give accurate results, the decay method must be performed at the same time the shields are first used."	"Source: Saha, 2004; p. 71."	"Question photos/Questions/Exam 2/IMG_1138.jpeg"	"Question photos/Answers/Exam 2/IMG_1217.jpeg"	""	""	""
"exam2-087"	"2"	"87"	"Instrumentation & QC"	"Dose Calibrator QC"	"calculation"	"5"	"The following dose calibrator constancy test results were obtained with a 57Co reference source: 57Co setting measured 56.6 uCi, calculated 57.8 uCi; 99mTc setting measured 59.2 uCi, calculated 58.7 uCi; 123I setting measured 46.9 uCi, calculated 51.7 uCi; 201Tl setting measured 47.9 uCi, calculated 53.5 uCi. Which of the following measured values fall within the limits according to the standard of practice?"	"57Co, 99mTc, 123I"	"57Co, 201Tl"	"99mTc, 123I, 201Tl"	"57Co, 99mTc"	"57Co, 99mTc, 123I, 201Tl"	"0"	"57Co, 99mTc, 123I"	"U.S. Nuclear Regulatory Commission, 2003 (10 CFR 35.60); Siegel, 2004; pp. 50-52; and Saha, 2004; p. 70. The NRC requires that dose calibrators be tested for proper functioning according to nationally recognized standards. The standard of practice requires the measured value to be within +10% of the calculated value. In this example, the measured values for Co, 99mTc, and 231 are within that limit. The measured value for 201Tl, however, varies by more than 10% of the calculated value. 0.10 (53.5 uCi) = 5.35 uCi The measured value at the 2'T1 setting could vary from 48.15 uCi to 58.85 uCi and be within the prescribed limit. However, the measured value is outside this range."	"Source photo: Answers/Exam 2/IMG_1218.jpeg."	"Question photos/Retake Photos/IMG_1314.jpeg"	"Question photos/Answers/Exam 2/IMG_1218.jpeg"	"assets/question-bank/retake/exam2-087/e2q87.jpg"	"Graphic for Exam 2, Question 87."	""
"exam2-088"	"2"	"88"	"Clinical Procedures"	"Clinical Procedures"	"image-interpretation"	"3"	"Based on the graph shown here, the full width at half maximum (FWHM) is:"	"2500 cpm"	"680 keV"	"7500 cpm"	"50 keV"	"500 cpm"	"3"	"50 keV"	"The full width at half maximum (FWHM) is defined as the width of the photopeak, expressed in keV, at one-half of the maximum or peak counts. This value is used to determine the energy resolution of a scintillation counter. The FVVI-IM is determined by calculating 50% of the highest count obtained. In this example, 50% of 15,000 cpm is 7,500 cpm. Then, a horizontal line is drawn from one side of the photopeak to the other at the 50% point. At the two places on each side of the graph where the horizontal intersects with the graph, a vertical line is dropped to the x-axis. The FWHM is calculated by subtracting the larger value from the smaller. In this example, the width of the photopeak is 50 keV (705-655 keV)."	"Source: Wells, 1999; pp. 129-130."	"Question photos/Retake Photos/IMG_1315.jpeg"	"Question photos/Answers/Exam 2/IMG_1218.jpeg"	"assets/question-bank/retake/exam2-088/e2q88.jpg"	"Graphic for Exam 2, Question 88."	""
"exam2-089"	"2"	"89"	"Instrumentation & QC"	"Dose Calibrator QC"	"concept"	"4"	"To perform a constancy test on a dose calibrator that is being used in a general nuclear medicine imaging department, the best choice of radionuclide settings on which to count the reference standard would include which of the following?"	"123I, 125I, 131I"	"125I, 57Co, 137Cs"	"99mTc, 201Tl, 137Cs"	"57Co, 137Cs, 131I"	"99mTc, 201Tl, 123I"	"4"	"99mTc, 201Tl, 123I"	"After the long-lived reference is read on its setting, the same source should be used to obtain a reading on each commonly used radionuclide setting. 99mTc, 201Tl, 123I, and 131I are commonly used radionuclides, whereas 125I is used infrequently. 57Co and 137Cs are reference standards that are counted only on a daily basis."	"Source: Early and Sodee, 1995; p. 214."	"Question photos/Questions/Exam 2/IMG_1138.jpeg"	"Question photos/Answers/Exam 2/IMG_1218.jpeg"	""	""	""
"exam2-090"	"2"	"90"	"Instrumentation & QC"	"Instrumentation & QC"	"calculation"	"5"	"The scintillation camera quality control image shown here was obtained with which of the following transmission phantoms?"	"4-quadrant bar"	"orthogonal hole"	"Moiré phantom"	"parallel-line equal-space (PLES)"	"Hine-Duley"	"1"	"orthogonal hole"	"The linearity/resolution image was obtained with an orthogonal-hole phantom."	"Source: Bernier, et al., 1994; p. 813."	"Question photos/Questions/Exam 2/IMG_1138.jpeg"	"Question photos/Answers/Exam 2/IMG_1218.jpeg"	"assets/question-bank/retake/exam2-090/e2q90.jpg"	"Graphic for Exam 2, Question 90."	""
"exam2-091"	"2"	"91"	"Instrumentation & QC"	"Dose Calibrator QC"	"calculation"	"3"	"The following data were obtained during a dose calibrator accuracy test: 57Co calculated value 80.6 uCi, measured value 71.0 uCi; 137Cs calculated value 62.3 uCi, measured value 55.9 uCi. On the basis of these results, which of the following statements is true?"	"The wrong radionuclides were used to perform this test."	"The instrument should be repaired or replaced."	"Too much radioactivity was used to perform this test. Energy (keV)"	"The instrument accurately measures radionuclides of different energies."	"Insufficient radioactivity was used to perform this test."	"1"	"The instrument should be repaired or replaced."	"The standard of practice for performing a dose calibrator accuracy test calls for the use of at least two long-lived reference sources. The measured value should be within 10% of the calculated value. If the instrument fails to meet this standard, it should be repaired or replaced."	"Source: Bernier, et al., 1994; p. 80."	"Question photos/Questions/Exam 2/IMG_1138.jpeg"	"Question photos/Answers/Exam 2/IMG_1218.jpeg"	"assets/question-bank/retake/exam2-091/e2q91.jpg"	"Graphic for Exam 2, Question 91."	""
"exam2-092"	"2"	"92"	"Image Production"	"Image Production"	"concept"	"2"	"Which of the following is a high-pass filter?"	"Ramp"	"Hanning"	"Parzen"	"Newcomer"	"Butterworth"	"0"	"Ramp"	"The ramp filter is a high-pass filter; that is, it permits high frequencies to pass through while altering the lower frequencies. This suppresses the star artifact created during filtered backprojection and increases resolution. However, it has little effect on statistical noise, so a low-pass filter, such as Butterworth, Hanning, or Parzen, must be used to eliminate some of this noise, thereby smoothing the image. Early and Sodee, 1995; pp. 260-261,"	"Source: Early and Sodee, 1995; pp. 245-248, and Powsner and Powsner, 1998; pp. 126-128."	"Question photos/Questions/Exam 2/IMG_1138.jpeg"	"Question photos/Answers/Exam 2/IMG_1218.jpeg"	""	""	""
"exam2-093"	"2"	"93"	"Instrumentation & QC"	"Uniformity QC"	"concept"	"3"	"In quantitating scintillation camera detector uniformity, the central field of view (CFOV) is defined as the diameter of the useful field of view (UFOV) times:"	"0.95"	"0.75"	"0.33"	"0.25"	"0.15"	"1"	"0.75"	"The UFOV is measured first, then the CFOV is defined as a circle with a diameter that is 75% of the UFOV diameter."	"Source: Early and Sodee, 1995; pp. 260-261, 267."	"Question photos/Questions/Exam 2/IMG_1139.jpeg"	"Question photos/Answers/Exam 2/IMG_1218.jpeg"	""	""	""
"exam2-094"	"2"	"94"	"Clinical Procedures"	"Clinical Procedures"	"concept"	"4"	"When the heart rate is 95 beats/min, what is the length of an average R-R interval?"	"0.63 sec"	"1 sec"	"1.6 sec"	"1.9 sec"	"2.5 sec"	"0"	"0.63 sec"	"If the patient's heart rate is 95 beats per minute, then each heart beat or R-R interval is: 60 sec = 0.63 sec/beat 95 beats"	"Source: Lee, 2005; pp. 151-152."	"Question photos/Questions/Exam 2/IMG_1139.jpeg"	"Question photos/Answers/Exam 2/IMG_1218.jpeg"	""	""	""
"exam2-095"	"2"	"95"	"Image Production"	"Image Production"	"concept"	"5"	"To perform pixel calibration, two capillary sources are placed on the camera surface 15 cm apart. From an image acquired using a 128 x 128 matrix, an activity profile is generated on the computer. If the profile shows that there are 45 pixels between the two activity peaks, the pixel size is:"	"0.02 cm"	"0.12 cm"	"0.20 cm"	"0.33 cm"	"0.42 cm"	"3"	"0.33 cm"	"The following calculation is used when using the point source or line source method for pixel calibration: distance between sources pixel size = number of pixels beween activity profile peaks In this example: 15 cm = 0.33 cm 45 pixels"	"Source: Wells, 1999; p. 159."	"Question photos/Questions/Exam 2/IMG_1139.jpeg"	"Question photos/Answers/Exam 2/IMG_1218.jpeg"	""	""	""
"exam2-096"	"2"	"96"	"Instrumentation & QC"	"Instrumentation & QC"	"concept"	"1"	"Coincidence loss is likely to occur when using a well counter if the:"	"energy of the radionuclide is below 50 keV"	"energy of the radionuclide is above 300 keV"	"activity of the source is below 1 uCi"	"activity of the source is above 2 mCi"	"activity of the source is between 1 uCi and 1 mCi"	"3"	"activity of the source is above 2 mCi"	"With activities in the millicurie range and sometimes much lower; photons are striking the well counter crystal at very short intervals. The instrument is in deadtime while many photons are interacting with the crystal. These photons will not be counted and are therefore ""lost."""	"Source: Early and Sodee, 1995; pp. 197-202."	"Question photos/Questions/Exam 2/IMG_1139.jpeg"	"Question photos/Answers/Exam 2/IMG_1218.jpeg"	""	""	""
"exam2-097"	"2"	"97"	"Image Production"	"Image Production"	"protocol"	"2"	"To assure a maximum error of 2% at the 95% confidence level, all samples that are measured in a well counter should be counted for a time interval that produces at least:"	"7,500 counts"	"5,000 counts"	"1,000 cpm"	"500 cpm"	"10,000 counts"	"4"	"10,000 counts"	"The 95% confidence level is most commonly used in nuclear medicine. To determine the minimum counts (N) needed to assure a maximum given percent error, the following equation is used: % error = (2) (100%) In this example: 2% = (2) (100%) VN"	"Source: Wells, 1999; pp. 81-82."	"Question photos/Questions/Exam 2/IMG_1139.jpeg"	"Question photos/Answers/Exam 2/IMG_1218.jpeg"	""	""	""
"exam2-098"	"2"	"98"	"Instrumentation & QC"	"Dose Calibrator QC"	"concept"	"3"	"If a 137Cs source used to determine constancy of a dose calibrator was originally calibrated to contain 200 uCi on June 1, 1998, what would be the expected activity of the source on June 1, 2002 (1 year decay factor of 0.977; 2 year decay factor of 0.955)?"	"182.4 uCi"	"185.0 uCi"	"186.6 uCi"	"191.0 uCi"	"195.4 uCi"	"0"	"182.4 uCi"	"When the decay factor for a desired time is not available, a combination of decay factors can be used to obtain the correct one. In this case, the 2-year decay factor is multiplied by itself to obtain the 4-year decay factor. The original activity is then multiplied by the decay factor to obtain the expected activity: 0.955 x 0.955 x 200 uCi = 182.4 uCi."	"Source: Wells, 1999; p. 173."	"Question photos/Questions/Exam 2/IMG_1139.jpeg"	"Question photos/Answers/Exam 2/IMG_1218.jpeg"	""	""	""
"exam2-099"	"2"	"99"	"Instrumentation & QC"	"Dose Calibrator QC"	"calculation"	"1"	"A 57Co source used to determine dose calibrator constancy was originally calibrated to contain 325.8 uCi 35 days ago. If the source is measured today, the dose calibrator reading must fall within what range of activities to meet the accepted standard?"	"238.2-357 uCi"	"258.0-337.6 uCi"	"268.0-327.6 uCi"	"280.3-342.7 uCi"	"271.5-331.9 uCi"	"2"	"268.0-327.6 uCi"	"The 35-day decay factor can be determined by multiplying the 30-day factor by the 5-day factor: 0.926 x 0.987 = 0.914. The expected activity is 325.8 uCi x 0.914 = 297.8 uCi. Dose calibrator constancy readings should be within +/-10% of the calculated value, so the acceptable range is 268.0-327.6 uCi."	"Source: provided retake photo IMG_1316; answer/explanation page not available in the supplied answer-photo set."	"Question photos/Retake Photos/IMG_1316.jpeg"	""	""	""	""
"exam2-100"	"2"	"100"	"Instrumentation & QC"	"Dose Calibrator QC"	"calculation"	"1"	"It has been determined that a correction factor of 1.15 must be used when a 5 mL syringe containing about 25 mCi is measured in a particular dose calibrator. If a unit dosage activity reads 26.2 mCi, what is the true activity?"	"22.7 mCi"	"25.1 mCi"	"30.1 mCi"	"40.1 mCi"	"47.4 mCi"	"2"	"30.1 mCi"	"Apply the dose calibrator correction factor to the displayed activity: 26.2 mCi x 1.15 = 30.13 mCi, which rounds to 30.1 mCi."	"Source: provided retake photo IMG_1316; answer/explanation page not available in the supplied answer-photo set."	"Question photos/Retake Photos/IMG_1316.jpeg"	""	""	""	""
"exam3-001"	"3"	"1"	"Clinical Procedures"	"Bone Imaging"	"protocol"	"1"	"Static bone imaging is performed several hours after tracer administration to permit:"	"maximum tracer uptake in the skeleton"	"tracer clearance from normal bone tissue"	"tracer clearance from sites of infiltration"	"blood clearance of excess tracer"	"tracer clearance from the kidneys"	"3"	"blood clearance of excess tracer"	"Maximum skeletal uptake of [99mTc] medronate (MDP) and [99mTc] oxidronate (HDP) occurs within 45 min after tracer administration, and imaging is to allow the excess circulating tracer to be cleared from the blood by the kidneys. Such clearance is necessary to increase the target (bone):non-target (soft tissue) ratio for an optimal image. Early and Sodee, 1995; pp. 348, 354,"	"Source: Early and Sodee, 1995; p. 345."	"Question photos/Questions/Exam 3/IMG_1140.jpeg"	"Question photos/Answers/Exam 3/IMG_1220.jpeg"	""	""	""
"exam3-002"	"3"	"2"	"Clinical Procedures"	"Bone Imaging"	"concept"	"2"	"For which of the following clinical indications would limited bone imaging (""spot"" views) be most appropriate?"	"Rule out skeletal metastases."	"Evaluate Paget's disease."	"Evaluate temporomandibular joint pain."	"With history of child abuse, rule out occult fractures."	"Rule out kidney stones."	"2"	"Evaluate temporomandibular joint pain."	"Paget's disease, skeletal metastases, and occult fractures may be widespread, so total-body bone imaging is indicated. Temporomandibular joint pain is localized, making spot views most appropriate."	"Source: Early and Sodee, 1995; pp. 348, 354, 359, 361."	"Question photos/Questions/Exam 3/IMG_1140.jpeg"	"Question photos/Answers/Exam 3/IMG_1220.jpeg"	""	""	""
"exam3-003"	"3"	"3"	"Image Production"	"Bone Imaging"	"concept"	"3"	"Three or four-phase bone imaging is particularly useful when which of the following conditions is suspected?"	"osteomyelitis"	"osteoporosis"	"skeletal metastases"	"stress fracture"	"compound fracture"	"0"	"osteomyelitis"	"Early images are important in diagnosing inflammatory conditions such as osteomyelitis. The flow study, the first phase of a multiphase bone image, is important in demonstrating increased blood flow to the affected area. In osteomyelitis, tracer concentration remains increased throughout the other phases."	"Source: Waterstram-Rich and Gilmore, et al., 2017; pp. 589-590."	"Question photos/Questions/Exam 3/IMG_1140.jpeg"	"Question photos/Answers/Exam 3/IMG_1220.jpeg"	""	""	""
"exam3-004"	"3"	"4"	"Clinical Procedures"	"Lung Imaging"	"protocol"	"4"	"The standard views performed in a lung perfusion study are:"	"anterior and posterior only"	"posterior and obliques only"	"anterior, posterior, and lateral of the affected lung"	"laterals and obliques only"	"anterior, posterior, laterals, and obliques"	"4"	"anterior, posterior, laterals, and obliques"	"At least six views should be performed in a lung perfusion study: anterior, posterior, right and left laterals, and right and left posterior obliques. Some authors recommend eight standard views: these plus right and left anterior obliques."	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 479; Early and Sodee, 1995."	"Question photos/Questions/Exam 3/IMG_1140.jpeg"	"Question photos/Answers/Exam 3/IMG_1220.jpeg"	""	""	""
"exam3-005"	"3"	"5"	"Patient Care"	"Patient Care"	"concept"	"5"	"Upon completion of an imaging procedure, the patient sits up quickly and complains of dizziness and feeling faint. The most appropriate action for the technologist would be to:"	"Have the patient stand and walk around the room."	"Check vital signs."	"Have the patient lie down again."	"Talk with the patient and have the patient breathe slowly and deeply."	"Ask the patient if they have a family history of syncope."	"3"	"Talk with the patient and have the patient breathe slowly and deeply."	"Initial feelings of dizziness and faintness when going from a recumbent to an upright position may be the result of a slight drop in blood pressure that occurs when the patient moves too quickly. To help minimize the severity of this orthostatic hypotension, the patient should be encouraged to talk and breathe slowly and deeply. Symptoms should subside within a few minutes. If they do not, the technologist should seek medical help for the patient. c Early and Sodee, 1995; pp. 461-462. To perform a ventilation study with [99mTc] pentetate (DTPA) aerosol, the liquid tracer is placed into the nebulizer, where it is broken up into small airborne particles that are inhaled by the patient. The patient is connected to the nebulizer with tubing and a face mask or mouthpiece. After inhalation of the tracer, the patient is disconnected from the delivery apparatus. Then, the patient is imaged. Because the particles remain where they have been deposited for a period of time, the same views that are acquired for the perfusion images may be acquired for the ventilation images. The nebulizer, tubing, and face mask or mouthpiece all are contaminated with [99mTc] pentetate (DTPA) and must be handled as radioac-"	"Source: Adler and Carlton, 2016; p. 154."	"Question photos/Questions/Exam 3/IMG_1140.jpeg"	"Question photos/Answers/Exam 3/IMG_1220.jpeg"	""	""	""
"exam3-006"	"3"	"6"	"Radiopharmaceuticals"	"Lung Imaging"	"concept"	"1"	"All of the following statements about performing a lung ventilation study with [99mTc] pentetate (DTPA) aerosol are true, except:"	"Multiple projections may be obtained with one dose of tracer."	"The patient is disconnected from the nebulizer after inhalation of the aerosol. "	"The patient is imaged while inhaling particles from the nebulizer."	"The face mask, tubing, and nebulizer must be disposed of as radioactive waste."	"Some residual tracer may be present in the esophagus."	"2"	"The patient is imaged while inhaling particles from the nebulizer."	"For an aerosol ventilation study, the patient inhales the aerosol and is then imaged after the inhalation phase; the patient is not normally imaged while actively inhaling particles from the nebulizer."	"Source photo: IMG_1220.jpeg."	"Question photos/Questions/Exam 3/IMG_1140.jpeg"	"Question photos/Answers/Exam 3/IMG_1220.jpeg"	""	""	""
"exam3-007"	"3"	"7"	"Radiation Safety"	"Lung Imaging"	"concept"	"2"	"The purpose of wrapping the legs with elastic bandages before performing a radionuclide venogram with [99mTc] MAA is to:"	"distend the veins in the feet"	"prevent blood clots from traveling to the lung"	"suppress superficial circulation"	"trap the tracer in the lower extremities"	"increase low blood pressure in the patient"	"2"	"suppress superficial circulation"	"The purpose of radionuclide venography is to demonstrate the presence of thrombi in the deep veins of the legs and pelvis (internal iliacs). Therefore, elastic bandages are used to wrap the legs between the ankles and knees to divert blood flow from the superficial circulation to the deep venous system."	"Source: Bernier, et al., 1994; pp. 299-300."	"Question photos/Questions/Exam 3/IMG_1140.jpeg"	"Question photos/Answers/Exam 3/IMG_1220.jpeg"	""	""	""
"exam3-008"	"3"	"8"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"protocol"	"3"	"When the radiation level coming from a radioiodine therapy patient in isolation is measured, it should be measured:"	"every day"	"every day at the same time"	"at the same distance from the patient each time"	"every day and at the same distance from the patient each time"	"at different distances from the patient each time"	"3"	"every day and at the same distance from the patient each time"	"Radiation levels from a radioiodine therapy patient should be monitored daily using the same instrument and counting geometry each time, including the same measurement distance."	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 451-453."	"Question photos/Questions/Exam 3/IMG_1140.jpeg"	"Question photos/Answers/Exam 3/IMG_1221.jpeg"	""	""	""
"exam3-009"	"3"	"9"	"Patient Care"	"Patient Care"	"concept"	"4"	"The function of a draw sheet is to provide:"	"support for the patient during a stretcher to bed transter"	"warmth to the patient during the procedure"	"protection from infectious disease"	"patient privacy during an imaging procedure"	"an activity for the patient during transfer"	"0"	"support for the patient during a stretcher to bed transter"	"The draw sheet is the one on which the patient is lying and is used for transferring the patient from stretcher to imaging table. Waterstram-Rich and Gilmore, et al.,"	"Source: Adler and Carlton, 2016; pp. 157-159."	"Question photos/Questions/Exam 3/IMG_1140.jpeg"	"Question photos/Answers/Exam 3/IMG_1221.jpeg"	""	""	""
"exam3-010"	"3"	"10"	"Radiopharmaceuticals"	"Radiopharmaceuticals"	"protocol"	"5"	"A gated equilibrium ventricular function study can be performed with which of the following 99mTc-labeled tracers?"	"[99mTc] pentetate (DTPA)"	"[99mTc] medronate (MDP)"	"[99mTc] human serum albumin"	"[99mTc] pyrophosphate (PYP)"	"[99mTc] macroaggregated albumin"	"2"	"[99mTc] human serum albumin"	"An equilibrium ventricular function study requires a radiopharmaceutical that remains in the blood pool. Many departments label the patient's red blood cells with [99mTc] pertechnetate, but other facilities prefer the immediate availability of [99mTc] albumin (MAA). Currently, [99mTc] albumin (MAA) is available only outside the United States."	"Source: Waterstram-Rich and Gilmore, et al., 2017; p. 512."	"Question photos/Questions/Exam 3/IMG_1140.jpeg"	"Question photos/Answers/Exam 3/IMG_1221.jpeg"	""	""	""
